node_names,node_coords
root;0,"(0.01,0.01);(1,1)"
root;1;4;8;15;18;35;56;206;247;277;354;473,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(7,0);(8,0);(9,0);(10,0);(11,0);(12,0)"
root;1;4;8;15;18;35;56;206;247;277;354;474,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(7,0);(8,0);(9,0);(10,0);(11,0);(11,1)"
root;1;4;8;15;18;35;56;206;247;277;354;475,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(7,0);(8,0);(9,0);(10,0);(11,0);(11,-1)"
root;1;4;8;15;18;35;56;206;247;277;355,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(7,0);(8,0);(9,0);(10,0);(10,1)"
root;1;4;8;15;18;35;56;206;247;277;356;482,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(7,0);(8,0);(9,0);(10,0);(10,-1);(10,-2)"
root;1;4;8;15;18;35;56;206;247;278,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(7,0);(8,0);(9,0);(9,1)"
root;1;4;8;15;18;35;56;206;247;279,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(7,0);(8,0);(9,0);(9,-1)"
root;1;4;8;15;18;35;56;206;248,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(7,0);(8,0);(8,-1)"
root;1;4;8;15;18;35;56;207,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(7,0);(7,-1)"
root;1;4;8;15;18;35;57;68;148,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(7,1);(8,1)"
root;1;4;8;15;18;35;57;69;74,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(5,2)"
root;1;4;8;15;18;35;57;69;75;123,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(7,2);(8,2)"
root;1;4;8;15;18;35;57;69;76;114,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(5,3)"
root;1;4;8;15;18;35;57;69;76;115,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(7,3)"
root;1;4;8;15;18;35;57;69;76;116;159,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(5,4)"
root;1;4;8;15;18;35;57;69;76;116;160,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(7,4)"
root;1;4;8;15;18;35;57;69;76;116;161;178,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(5,5)"
root;1;4;8;15;18;35;57;69;76;116;161;179,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(7,5)"
root;1;4;8;15;18;35;57;69;76;116;161;180;249,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(5,6)"
root;1;4;8;15;18;35;57;69;76;116;161;180;250,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(7,6)"
root;1;4;8;15;18;35;57;69;76;116;161;180;251;327,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(6,7);(5,7)"
root;1;4;8;15;18;35;57;69;76;116;161;180;251;328,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(6,7);(7,7)"
root;1;4;8;15;18;35;57;69;76;116;161;180;251;329;422;561;676,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(6,7);(6,8);(5,8);(4,8);(3,8)"
root;1;4;8;15;18;35;57;69;76;116;161;180;251;329;422;561;677;763,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(6,7);(6,8);(5,8);(4,8);(4,9);(3,9)"
root;1;4;8;15;18;35;57;69;76;116;161;180;251;329;422;561;677;764;825,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(6,7);(6,8);(5,8);(4,8);(4,9);(4,10);(3,10)"
root;1;4;8;15;18;35;57;69;76;116;161;180;251;329;422;561;678,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(6,7);(6,8);(5,8);(4,8);(4,7)"
root;1;4;8;15;18;35;57;69;76;116;161;180;251;329;423,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(6,7);(6,8);(7,8)"
root;1;4;8;15;18;35;57;69;76;116;161;180;251;329;424;518,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(6,7);(6,8);(6,9);(5,9)"
root;1;4;8;15;18;35;57;69;76;116;161;180;251;329;424;519,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(6,7);(6,8);(6,9);(7,9)"
root;1;4;8;15;18;35;57;69;76;116;161;180;251;329;424;520;623,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(6,7);(6,8);(6,9);(6,10);(5,10)"
root;1;4;8;15;18;35;57;69;76;116;161;180;251;329;424;520;624,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(6,7);(6,8);(6,9);(6,10);(7,10)"
root;1;4;8;15;18;35;57;69;76;116;161;180;251;329;424;520;625;733;806,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(6,7);(6,8);(6,9);(6,10);(6,11);(5,11);(4,11)"
root;1;4;8;15;18;35;57;69;76;116;161;180;251;329;424;520;625;733;807,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(6,7);(6,8);(6,9);(6,10);(6,11);(5,11);(5,12)"
root;1;4;8;15;18;35;57;69;76;116;161;180;251;329;424;520;625;734,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(6,7);(6,8);(6,9);(6,10);(6,11);(7,11)"
root;1;4;8;15;18;35;57;69;76;116;161;180;251;329;424;520;625;735,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,1);(6,2);(6,3);(6,4);(6,5);(6,6);(6,7);(6,8);(6,9);(6,10);(6,11);(6,12)"
root;1;4;8;15;18;35;58,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(6,0);(6,-1)"
root;1;4;8;15;18;36,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(5,1)"
root;1;4;8;15;18;37;79;136,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(5,-1);(5,-2);(4,-2)"
root;1;4;8;15;18;37;79;137;350,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(5,-1);(5,-2);(6,-2);(7,-2)"
root;1;4;8;15;18;37;79;138;154,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(5,-1);(5,-2);(5,-3);(4,-3)"
root;1;4;8;15;18;37;79;138;155,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(5,-1);(5,-2);(5,-3);(6,-3)"
root;1;4;8;15;18;37;79;138;156;192,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(5,-1);(5,-2);(5,-3);(5,-4);(4,-4)"
root;1;4;8;15;18;37;79;138;156;193,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(5,-1);(5,-2);(5,-3);(5,-4);(6,-4)"
root;1;4;8;15;18;37;79;138;156;194;225,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(5,-1);(5,-2);(5,-3);(5,-4);(5,-5);(4,-5)"
root;1;4;8;15;18;37;79;138;156;194;226,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(5,-1);(5,-2);(5,-3);(5,-4);(5,-5);(6,-5)"
root;1;4;8;15;18;37;79;138;156;194;227;334,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(5,0);(5,-1);(5,-2);(5,-3);(5,-4);(5,-5);(5,-6);(6,-6)"
root;1;4;8;15;19;268,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(4,1);(4,2)"
root;1;4;8;15;20,"(0.01,0.01);(1,0);(2,0);(3,0);(4,0);(4,-1)"
root;1;4;8;16,"(0.01,0.01);(1,0);(2,0);(3,0);(3,1)"
root;1;4;8;17,"(0.01,0.01);(1,0);(2,0);(3,0);(3,-1)"
root;1;4;9,"(0.01,0.01);(1,0);(2,0);(2,1)"
root;1;4;10,"(0.01,0.01);(1,0);(2,0);(2,-1)"
root;1;5;11;24;145,"(0.01,0.01);(1,0);(1,-1);(1,-2);(0,-2);(-1,-2)"
root;1;5;11;25;53,"(0.01,0.01);(1,0);(1,-1);(1,-2);(2,-2);(3,-2)"
root;1;5;11;26;32;48,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(0,-3);(-1,-3)"
root;1;5;11;26;33;52,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(2,-3);(3,-3)"
root;1;5;11;26;34;43;95;197;228,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(0,-4);(-1,-4);(-2,-4);(-3,-4)"
root;1;5;11;26;34;43;95;197;229,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(0,-4);(-1,-4);(-2,-4);(-2,-3)"
root;1;5;11;26;34;44;96,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(2,-4);(3,-4)"
root;1;5;11;26;34;45;59,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(1,-5);(0,-5)"
root;1;5;11;26;34;45;60,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(1,-5);(2,-5)"
root;1;5;11;26;34;45;61;71;117;134;146,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(1,-5);(1,-6);(0,-6);(-1,-6);(-2,-6);(-3,-6)"
root;1;5;11;26;34;45;61;71;117;134;147;199;269;315,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(1,-5);(1,-6);(0,-6);(-1,-6);(-2,-6);(-2,-5);(-3,-5);(-4,-5);(-5,-5)"
root;1;5;11;26;34;45;61;71;117;134;147;199;269;316,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(1,-5);(1,-6);(0,-6);(-1,-6);(-2,-6);(-2,-5);(-3,-5);(-4,-5);(-4,-4)"
root;1;5;11;26;34;45;61;71;117;134;147;199;269;317,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(1,-5);(1,-6);(0,-6);(-1,-6);(-2,-6);(-2,-5);(-3,-5);(-4,-5);(-4,-6)"
root;1;5;11;26;34;45;61;71;117;135,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(1,-5);(1,-6);(0,-6);(-1,-6);(-1,-5)"
root;1;5;11;26;34;45;61;72,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(1,-5);(1,-6);(2,-6)"
root;1;5;11;26;34;45;61;73;82,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(1,-5);(1,-6);(1,-7);(0,-7)"
root;1;5;11;26;34;45;61;73;83,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(1,-5);(1,-6);(1,-7);(2,-7)"
root;1;5;11;26;34;45;61;73;84;88;109;120;162;175;385,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(1,-5);(1,-6);(1,-7);(1,-8);(0,-8);(-1,-8);(-2,-8);(-3,-8);(-4,-8);(-4,-7)"
root;1;5;11;26;34;45;61;73;84;88;109;120;162;176,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(1,-5);(1,-6);(1,-7);(1,-8);(0,-8);(-1,-8);(-2,-8);(-3,-8);(-3,-7)"
root;1;5;11;26;34;45;61;73;84;88;109;120;162;177;202;214;244,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(1,-5);(1,-6);(1,-7);(1,-8);(0,-8);(-1,-8);(-2,-8);(-3,-8);(-3,-9);(-4,-9);(-5,-9);(-6,-9)"
root;1;5;11;26;34;45;61;73;84;88;109;120;162;177;202;214;245,"(0.01,0.01);(1,0);(1,-1);(1,-2);(1,-3);(1,-4);(1,-5);(1,-6);(1,-7);(1,-8);(0,-8);(-1,-8);(-2,-8);(-3,-8);(-3,-9);(-4,-9);(-5,-9);(-5,-8)"
