output,Id,Species,hit_count,x,y
0,"['24', '88']","[6, 6]",2,1.0,1.0
2,['9'],[1],1,0.0,1.0
3,"['30', '39', '40', '42', '51', '53', '72', '97']","[6, 6, 6, 6, 6, 7, 7, 6]",8,0.0,0.0
19,"['1', '5', '6', '17', '22', '28', '31', '55', '65', '70']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.0,-2.0
22,"['33', '58', '78', '79']","[2, 2, 2, 2]",4,6.0,0.0
34,"['11', '20', '57']","[2, 2, 2]",3,6.0,1.0
39,"['43', '59', '83', '100']","[2, 2, 2, 2]",4,7.0,0.0
40,"['23', '56']","[2, 2]",2,6.0,-1.0
41,"['35', '36', '49', '54', '94']","[1, 1, 1, 1, 1]",5,0.0,-3.0
45,"['63', '90']","[1, 3]",2,0.0,3.0
46,"['16', '37', '41', '71', '95']","[2, 2, 2, 2, 2]",5,7.0,1.0
48,['96'],[1],1,-5.0,0.0
58,"['25', '26', '89']","[5, 5, 5]",3,0.0,4.0
66,"['15', '46', '85']","[7, 7, 7]",3,0.0,5.0
71,"['52', '91']","[5, 3]",2,1.0,5.0
77,"['29', '32']","[1, 1]",2,-7.0,0.0
83,"['27', '93']","[1, 1]",2,-8.0,0.0
85,['84'],[1],1,-7.0,-1.0
115,"['21', '87']","[2, 2]",2,8.0,1.0
116,['14'],[7],1,1.0,8.0
129,['7'],[4],1,6.0,8.0
131,"['34', '73', '82']","[4, 4, 4]",3,5.0,7.0
133,"['0', '3', '4', '10', '44', '45', '47', '48', '50', '64', '67', '69', '98']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",13,0.0,-4.0
136,['86'],[4],1,1.0,11.0
138,['68'],[1],1,0.0,-5.0
145,"['81', '99']","[7, 7]",2,0.0,-6.0
155,"['62', '80']","[3, 3]",2,6.0,7.0
161,['13'],[7],1,-1.0,-9.0
170,"['18', '60', '92']","[4, 4, 4]",3,1.0,13.0
185,['75'],[1],1,-5.0,4.0
194,['76'],[3],1,9.0,8.0
204,"['19', '66']","[1, 1]",2,-5.0,7.0
228,"['2', '8', '12', '38', '61']","[4, 4, 4, 4, 4]",5,11.0,8.0
234,['77'],[7],1,-15.0,-9.0
238,['74'],[1],1,-6.0,8.0
