output,Name,label,hit_count,x,y
7,"['mole', 'opossum']","[1, 1]",2,0.0,2.0
18,['pussycat'],[1],1,4.0,1.0
21,['platypus'],[1],1,-3.0,1.0
29,['tortoise'],[3],1,-4.0,1.0
46,['gnat'],[6],1,-3.0,-3.0
55,"['honeybee', 'housefly', 'moth', 'wasp']","[6, 6, 6, 6]",4,-3.0,-4.0
63,"['flea', 'termite']","[6, 6]",2,-2.0,-4.0
74,['ladybird'],[6],1,-3.0,-6.0
80,['mink'],[1],1,5.0,3.0
84,"['hare', 'vole']","[1, 1]",2,5.0,-2.0
94,"['aardvark', 'bear']","[1, 1]",2,2.0,4.0
107,"['cavy', 'hamster']","[1, 1]",2,1.0,-5.0
122,"['fruitbat', 'vampire']","[1, 1]",2,10.0,1.0
128,"['boar', 'cheetah', 'leopard', 'lion', 'lynx', 'mongoose', 'polecat', 'puma', 'raccoon', 'wolf']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,3.0,4.0
134,['flamingo'],[2],1,-8.0,-1.0
141,"['crab', 'starfish']","[7, 7]",2,-2.0,-10.0
151,"['duck', 'swan']","[2, 2]",2,-9.0,1.0
157,"['gorilla', 'wallaby']","[1, 1]",2,9.0,-1.0
170,['kiwi'],[2],1,-4.0,6.0
186,"['gull', 'skimmer', 'skua']","[2, 2, 2]",3,-8.0,4.0
187,"['crow', 'hawk']","[2, 2]",2,-7.0,5.0
191,"['lark', 'pheasant', 'sparrow', 'wren']","[2, 2, 2, 2]",4,-9.0,-1.0
194,['vulture'],[2],1,-5.0,6.0
202,"['antelope', 'buffalo', 'deer', 'elephant', 'giraffe', 'oryx']","[1, 1, 1, 1, 1, 1]",6,3.0,-2.0
203,"['calf', 'goat', 'pony', 'reindeer']","[1, 1, 1, 1]",4,4.0,-3.0
205,"['slug', 'worm']","[7, 7]",2,3.0,-9.0
208,"['frog', 'frog', 'toad']","[5, 5, 5]",3,-5.0,-12.0
213,['squirrel'],[1],1,10.0,-1.0
219,"['crayfish', 'lobster']","[7, 7]",2,-5.0,-8.0
223,['seasnake'],[3],1,0.0,-14.0
229,"['octopus', 'scorpion']","[7, 7]",2,-5.0,-6.0
230,"['newt', 'tuatara']","[5, 3]",2,-6.0,-13.0
241,"['ostrich', 'penguin', 'rhea']","[2, 2, 2]",3,-3.0,6.0
270,['sealion'],[1],1,9.0,5.0
271,"['chicken', 'dove', 'parakeet']","[2, 2, 2]",3,-10.0,-1.0
301,['slowworm'],[3],1,4.0,-14.0
306,"['bass', 'catfish', 'chub', 'herring', 'piranha']","[4, 4, 4, 4, 4]",5,-3.0,-16.0
307,"['carp', 'haddock', 'seahorse', 'sole']","[4, 4, 4, 4]",4,-4.0,-17.0
310,"['dolphin', 'porpoise']","[1, 1]",2,0.0,-18.0
325,['pitviper'],[3],1,6.0,-14.0
326,['clam'],[7],1,8.0,-9.0
329,['seawasp'],[7],1,9.0,-10.0
332,['seal'],[1],1,2.0,-18.0
333,"['dogfish', 'pike', 'stingray', 'tuna']","[4, 4, 4, 4]",4,-10.0,-10.0
