output,Id,Species,hit_count,x,y
2,[40],['Iris-setosa'],1,0.0,1.0
5,[8],['Iris-setosa'],1,1.0,2.0
7,"[27, 44]","['Iris-setosa', 'Iris-setosa']",2,0.0,-1.0
13,[50],['Iris-setosa'],1,1.0,3.0
21,[32],['Iris-setosa'],1,-3.0,1.0
25,[25],['Iris-setosa'],1,1.0,-2.0
28,[24],['Iris-setosa'],1,-1.0,-2.0
45,[36],['Iris-setosa'],1,3.0,5.0
55,[21],['Iris-setosa'],1,-5.0,2.0
57,[45],['Iris-setosa'],1,-5.0,3.0
65,[13],['Iris-setosa'],1,6.0,2.0
66,[46],['Iris-setosa'],1,5.0,1.0
80,[28],['Iris-setosa'],1,-2.0,3.0
85,[98],['Iris-versicolor'],1,-7.0,-1.0
89,[65],['Iris-versicolor'],1,-4.0,-3.0
94,"[2, 10, 35, 38]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa', 'Iris-setosa']",4,5.0,0.0
96,[43],['Iris-setosa'],1,6.0,5.0
103,[12],['Iris-setosa'],1,2.0,-3.0
113,[57],['Iris-versicolor'],1,-10.0,0.0
114,[75],['Iris-versicolor'],1,-9.0,1.0
115,[86],['Iris-versicolor'],1,-9.0,-1.0
116,[41],['Iris-setosa'],1,0.0,5.0
127,[72],['Iris-versicolor'],1,-6.0,-3.0
128,"[89, 96]","['Iris-versicolor', 'Iris-versicolor']",2,-5.0,-4.0
131,[52],['Iris-versicolor'],1,-10.0,1.0
134,[62],['Iris-versicolor'],1,-7.0,-3.0
138,[48],['Iris-setosa'],1,6.0,6.0
142,"[30, 31]","['Iris-setosa', 'Iris-setosa']",2,5.0,-1.0
155,"[15, 16, 17, 34]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa', 'Iris-setosa']",4,-5.0,5.0
157,[55],['Iris-versicolor'],1,-10.0,-1.0
165,"[66, 76]","['Iris-versicolor', 'Iris-versicolor']",2,-10.0,2.0
167,"[20, 22, 47]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa']",3,-5.0,6.0
168,[79],['Iris-versicolor'],1,-8.0,-4.0
172,"[64, 74]","['Iris-versicolor', 'Iris-versicolor']",2,-9.0,-3.0
173,"[68, 100]","['Iris-versicolor', 'Iris-versicolor']",2,-5.0,-5.0
182,"[80, 82]","['Iris-versicolor', 'Iris-versicolor']",2,1.0,-7.0
183,[78],['Iris-versicolor'],1,-12.0,-1.0
