output,Id,Species,hit_count,x,y,cluster
2,[40],['Iris-setosa'],1,0.0,1.0,1
5,[8],['Iris-setosa'],1,1.0,2.0,1
7,"[27, 44]","['Iris-setosa', 'Iris-setosa']",2,0.0,-1.0,3
13,[50],['Iris-setosa'],1,1.0,3.0,1
21,[32],['Iris-setosa'],1,-3.0,1.0,1
25,[25],['Iris-setosa'],1,1.0,-2.0,3
28,[24],['Iris-setosa'],1,-1.0,-2.0,3
45,[36],['Iris-setosa'],1,3.0,5.0,1
55,[21],['Iris-setosa'],1,-5.0,2.0,1
57,[45],['Iris-setosa'],1,-5.0,3.0,1
65,[13],['Iris-setosa'],1,6.0,2.0,1
66,[46],['Iris-setosa'],1,5.0,1.0,1
80,[28],['Iris-setosa'],1,-2.0,3.0,1
85,[98],['Iris-versicolor'],1,-7.0,-1.0,3
89,[65],['Iris-versicolor'],1,-4.0,-3.0,3
94,"[2, 10, 35, 38]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa', 'Iris-setosa']",4,5.0,0.0,1
96,[43],['Iris-setosa'],1,6.0,5.0,1
103,[12],['Iris-setosa'],1,2.0,-3.0,3
113,[57],['Iris-versicolor'],1,-10.0,0.0,2
114,[75],['Iris-versicolor'],1,-9.0,1.0,2
115,[86],['Iris-versicolor'],1,-9.0,-1.0,2
116,[41],['Iris-setosa'],1,0.0,5.0,1
127,[72],['Iris-versicolor'],1,-6.0,-3.0,3
128,"[89, 96]","['Iris-versicolor', 'Iris-versicolor']",2,-5.0,-4.0,3
131,[52],['Iris-versicolor'],1,-10.0,1.0,2
134,[62],['Iris-versicolor'],1,-7.0,-3.0,3
138,[48],['Iris-setosa'],1,6.0,6.0,1
142,"[30, 31]","['Iris-setosa', 'Iris-setosa']",2,5.0,-1.0,1
155,"[15, 16, 17, 34]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa', 'Iris-setosa']",4,-5.0,5.0,1
157,[55],['Iris-versicolor'],1,-10.0,-1.0,2
165,"[66, 76]","['Iris-versicolor', 'Iris-versicolor']",2,-10.0,2.0,2
167,"[20, 22, 47]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa']",3,-5.0,6.0,1
168,[79],['Iris-versicolor'],1,-8.0,-4.0,3
172,"[64, 74]","['Iris-versicolor', 'Iris-versicolor']",2,-9.0,-3.0,2
173,"[68, 100]","['Iris-versicolor', 'Iris-versicolor']",2,-5.0,-5.0,3
182,"[80, 82]","['Iris-versicolor', 'Iris-versicolor']",2,1.0,-7.0,3
183,[78],['Iris-versicolor'],1,-12.0,-1.0,2
190,[99],['Iris-versicolor'],1,-1.0,-7.0,3
195,"[101, 116, 125, 137, 141, 145, 149]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica']",7,-13.0,-1.0,2
197,[111],['Iris-virginica'],1,-12.0,-2.0,2
209,"[127, 128]","['Iris-virginica', 'Iris-virginica']",2,-10.0,-5.0,2
214,[4],['Iris-setosa'],1,6.0,0.0,1
215,[3],['Iris-setosa'],1,4.0,7.0,1
217,[42],['Iris-setosa'],1,8.0,6.0,1
221,[6],['Iris-setosa'],1,-8.0,5.0,1
222,[130],['Iris-virginica'],1,-13.0,-2.0,2
225,[97],['Iris-versicolor'],1,-6.0,-6.0,3
226,"[69, 88]","['Iris-versicolor', 'Iris-versicolor']",2,-7.0,-7.0,3
229,[39],['Iris-setosa'],1,9.0,2.0,1
230,"[60, 81]","['Iris-versicolor', 'Iris-versicolor']",2,-2.0,-7.0,3
232,"[54, 63, 70]","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor']",3,-1.0,-8.0,3
233,[148],['Iris-virginica'],1,-11.0,-3.0,2
234,"[142, 146]","['Iris-virginica', 'Iris-virginica']",2,-14.0,-1.0,2
235,[134],['Iris-virginica'],1,-11.0,-5.0,2
238,[5],['Iris-setosa'],1,-1.0,6.0,1
239,[19],['Iris-setosa'],1,-7.0,6.0,1
240,[33],['Iris-setosa'],1,-6.0,7.0,1
241,"[51, 53, 77, 87]","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor']",4,-13.0,2.0,2
243,"[71, 139]","['Iris-versicolor', 'Iris-virginica']",2,-9.0,-7.0,3
245,[83],['Iris-versicolor'],1,-4.0,-5.0,3
247,[92],['Iris-versicolor'],1,-9.0,-2.0,2
249,"[117, 138]","['Iris-virginica', 'Iris-virginica']",2,-12.0,-4.0,2
250,"[11, 37, 49]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa']",3,-5.0,7.0,1
251,"[103, 121, 144]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica']",3,-14.0,-2.0,2
252,[124],['Iris-virginica'],1,-11.0,-6.0,2
256,[26],['Iris-setosa'],1,4.0,-3.0,3
257,[95],['Iris-versicolor'],1,-5.0,-6.0,3
258,[59],['Iris-versicolor'],1,-11.0,4.0,2
260,[9],['Iris-setosa'],1,9.0,4.0,1
264,"[58, 61, 94]","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor']",3,1.0,-8.0,3
265,"[113, 140]","['Iris-virginica', 'Iris-virginica']",2,-13.0,-4.0,2
266,[112],['Iris-virginica'],1,-12.0,-6.0,2
267,"[84, 135]","['Iris-versicolor', 'Iris-virginica']",2,-11.0,-7.0,2
270,"[56, 67, 85, 91, 107]","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor', 'Iris-virginica']",5,-7.0,-8.0,3
272,[23],['Iris-setosa'],1,3.0,7.0,1
273,[7],['Iris-setosa'],1,4.0,8.0,1
274,"[90, 93]","['Iris-versicolor', 'Iris-versicolor']",2,-3.0,-7.0,3
277,"[1, 29]","['Iris-setosa', 'Iris-setosa']",2,-2.0,6.0,1
278,"[73, 120, 147]","['Iris-versicolor', 'Iris-virginica', 'Iris-virginica']",3,-9.0,-8.0,3
279,"[106, 108, 110, 118, 119, 123, 126, 131, 132, 136]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica']",10,-15.0,-1.0,2
280,"[102, 114, 115, 122, 143, 150]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica']",6,-10.0,-8.0,3
