node_names,node_coords
root;0;49;106;642,"(0.01,0.01);(1,1);(2,1);(3,1);(4,1)"
root;0;49;107,"(0.01,0.01);(1,1);(2,1);(2,2)"
root;0;50;297,"(0.01,0.01);(1,1);(1,2);(1,3)"
root;1;4;60,"(0.01,0.01);(1,0);(2,0);(3,0)"
root;1;4;61;121;137,"(0.01,0.01);(1,0);(2,0);(2,-1);(3,-1);(4,-1)"
root;1;5,"(0.01,0.01);(1,0);(1,-1)"
root;2;6;10,"(0.01,0.01);(0,1);(-1,1);(-2,1)"
root;2;6;11;12;22;31;45;56;62;68;95;130;154;201;238;273;355;424;502;589;668,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-11,2);(-12,2);(-13,2);(-14,2);(-15,2);(-16,2);(-17,2);(-18,2);(-19,2)"
root;2;6;11;12;22;31;45;56;62;68;95;130;154;201;238;273;355;424;502;589;669,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-11,2);(-12,2);(-13,2);(-14,2);(-15,2);(-16,2);(-17,2);(-18,2);(-18,3)"
root;2;6;11;12;22;31;45;56;62;68;95;130;154;201;238;273;355;424;502;589;670,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-11,2);(-12,2);(-13,2);(-14,2);(-15,2);(-16,2);(-17,2);(-18,2);(-18,1)"
root;2;6;11;12;22;31;45;56;62;68;95;130;154;201;238;273;355;424;502;590,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-11,2);(-12,2);(-13,2);(-14,2);(-15,2);(-16,2);(-17,2);(-17,3)"
root;2;6;11;12;22;31;45;56;62;68;95;130;154;201;238;273;355;424;502;591,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-11,2);(-12,2);(-13,2);(-14,2);(-15,2);(-16,2);(-17,2);(-17,1)"
root;2;6;11;12;22;31;45;56;62;68;95;130;154;201;238;273;355;424;503,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-11,2);(-12,2);(-13,2);(-14,2);(-15,2);(-16,2);(-16,3)"
root;2;6;11;12;22;31;45;56;62;68;95;130;154;201;238;273;355;424;504,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-11,2);(-12,2);(-13,2);(-14,2);(-15,2);(-16,2);(-16,1)"
root;2;6;11;12;22;31;45;56;62;68;95;130;154;201;238;273;355;425,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-11,2);(-12,2);(-13,2);(-14,2);(-15,2);(-15,3)"
root;2;6;11;12;22;31;45;56;62;68;95;130;154;201;238;273;355;426,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-11,2);(-12,2);(-13,2);(-14,2);(-15,2);(-15,1)"
root;2;6;11;12;22;31;45;56;62;68;95;130;154;201;238;273;356,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-11,2);(-12,2);(-13,2);(-14,2);(-14,3)"
root;2;6;11;12;22;31;45;56;62;68;95;130;154;201;238;273;357,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-11,2);(-12,2);(-13,2);(-14,2);(-14,1)"
