output,Name,label,hit_count,x,y
2,"['mole', 'opossum']","[1, 1]",2,0.0,1.0
10,['platypus'],[1],1,-1.0,0.0
15,"['boar', 'cheetah', 'leopard', 'lion', 'lynx', 'mongoose', 'polecat', 'puma', 'raccoon', 'wolf']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,3.0,1.0
72,"['crayfish', 'lobster']","[7, 7]",2,-9.0,2.0
83,"['kiwi', 'penguin', 'rhea']","[2, 2, 2]",3,-2.0,-4.0
100,"['octopus', 'scorpion']","[7, 7]",2,-7.0,3.0
106,['tortoise'],[3],1,-4.0,-1.0
108,['starfish'],[7],1,-11.0,0.0
111,['pussycat'],[1],1,6.0,-2.0
117,"['gull', 'skimmer', 'skua']","[2, 2, 2]",3,-1.0,-6.0
138,['crab'],[7],1,-11.0,3.0
140,"['crow', 'hawk', 'vulture']","[2, 2, 2]",3,-2.0,-6.0
149,['mink'],[1],1,7.0,0.0
158,['tuatara'],[3],1,-6.0,-2.0
159,"['flea', 'termite']","[6, 6]",2,-4.0,5.0
168,"['fruitbat', 'vampire']","[1, 1]",2,2.0,5.0
169,['wallaby'],[1],1,4.0,5.0
178,['ladybird'],[6],1,-6.0,6.0
182,"['calf', 'goat', 'pony', 'reindeer']","[1, 1, 1, 1]",4,5.0,-5.0
197,"['aardvark', 'bear']","[1, 1]",2,9.0,1.0
201,['squirrel'],[1],1,1.0,5.0
212,"['slug', 'worm']","[7, 7]",2,-14.0,4.0
220,"['cavy', 'hamster', 'hare', 'vole']","[1, 1, 1, 1]",4,6.0,-5.0
221,"['antelope', 'buffalo', 'deer', 'elephant', 'giraffe', 'oryx']","[1, 1, 1, 1, 1, 1]",6,5.0,-6.0
229,['clam'],[7],1,-15.0,4.0
232,"['housefly', 'moth']","[6, 6]",2,-3.0,5.0
233,"['honeybee', 'wasp']","[6, 6]",2,-4.0,6.0
246,['gorilla'],[1],1,6.0,6.0
262,"['duck', 'swan']","[2, 2]",2,1.0,-9.0
263,"['flamingo', 'ostrich']","[2, 2]",2,0.0,-10.0
265,"['chicken', 'dove', 'lark', 'parakeet', 'pheasant', 'sparrow', 'wren']","[2, 2, 2, 2, 2, 2, 2]",7,-2.0,-10.0
268,"['bass', 'catfish', 'chub', 'herring', 'piranha']","[4, 4, 4, 4, 4]",5,-16.0,-3.0
273,['seawasp'],[7],1,-13.0,6.0
281,['gnat'],[6],1,-6.0,7.0
304,['pitviper'],[3],1,-11.0,9.0
307,['girl'],[1],1,9.0,5.0
310,"['frog', 'frog', 'toad']","[5, 5, 5]",3,-9.0,-4.0
312,['sealion'],[1],1,-11.0,-8.0
315,['newt'],[5],1,-9.0,-5.0
323,"['dolphin', 'porpoise', 'seal']","[1, 1, 1]",3,-12.0,-10.0
330,"['dogfish', 'pike', 'stingray', 'tuna']","[4, 4, 4, 4]",4,-16.0,-5.0
339,['slowworm'],[3],1,-11.0,11.0
343,['seasnake'],[3],1,-15.0,9.0
347,['carp'],[4],1,-20.0,8.0
348,"['haddock', 'seahorse', 'sole']","[4, 4, 4]",3,-20.0,6.0
