output,Id,Species,hit_count,x,y
1,[40],['Iris-setosa'],1,1.0,0.0
2,[29],['Iris-setosa'],1,0.0,1.0
5,[50],['Iris-setosa'],1,1.0,2.0
13,[36],['Iris-setosa'],1,1.0,4.0
20,[8],['Iris-setosa'],1,2.0,0.0
29,"[28, 37]","['Iris-setosa', 'Iris-setosa']",2,-2.0,0.0
31,"[10, 35, 38]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa']",3,4.0,4.0
41,"[21, 32]","['Iris-setosa', 'Iris-setosa']",2,-1.0,-3.0
51,[3],['Iris-setosa'],1,2.0,7.0
54,[26],['Iris-setosa'],1,5.0,6.0
64,"[27, 44]","['Iris-setosa', 'Iris-setosa']",2,2.0,-3.0
71,[49],['Iris-setosa'],1,-4.0,-1.0
75,[2],['Iris-setosa'],1,6.0,6.0
76,[13],['Iris-setosa'],1,5.0,7.0
94,[11],['Iris-setosa'],1,-4.0,-2.0
99,[22],['Iris-setosa'],1,-5.0,2.0
102,"[1, 18]","['Iris-setosa', 'Iris-setosa']",2,-2.0,2.0
107,[48],['Iris-setosa'],1,1.0,8.0
112,[41],['Iris-setosa'],1,-2.0,4.0
124,"[20, 47]","['Iris-setosa', 'Iris-setosa']",2,-6.0,1.0
130,"[15, 16, 17, 33, 34]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa', 'Iris-setosa', 'Iris-setosa']",5,-6.0,-2.0
143,[31],['Iris-setosa'],1,6.0,1.0
145,[6],['Iris-setosa'],1,-7.0,-2.0
153,[19],['Iris-setosa'],1,-7.0,-3.0
156,[65],['Iris-versicolor'],1,-5.0,-6.0
158,[45],['Iris-setosa'],1,-6.0,2.0
161,[5],['Iris-setosa'],1,-3.0,4.0
163,[43],['Iris-setosa'],1,1.0,10.0
169,"[12, 25]","['Iris-setosa', 'Iris-setosa']",2,5.0,-3.0
173,[24],['Iris-setosa'],1,2.0,-4.0
183,[80],['Iris-versicolor'],1,-3.0,-6.0
200,[83],['Iris-versicolor'],1,-7.0,-6.0
209,"[73, 84, 120]","['Iris-versicolor', 'Iris-versicolor', 'Iris-virginica']",3,-11.0,-2.0
210,[64],['Iris-versicolor'],1,-10.0,-3.0
212,[79],['Iris-versicolor'],1,-10.0,0.0
219,[72],['Iris-versicolor'],1,-8.0,-6.0
220,"[68, 93]","['Iris-versicolor', 'Iris-versicolor']",2,-7.0,-7.0
233,"[81, 82]","['Iris-versicolor', 'Iris-versicolor']",2,-2.0,-8.0
235,[127],['Iris-virginica'],1,-12.0,-3.0
238,[139],['Iris-virginica'],1,-12.0,0.0
247,[46],['Iris-setosa'],1,8.0,4.0
248,[135],['Iris-virginica'],1,-14.0,-2.0
