Gene_ID,Node_ID,Is_AD_Biomarker,Cluster_k2
FAM41AY1,2705,0,1
CHCHD10,195,0,1
PNMA1,2593,0,1
USP47,1688,0,1
PAK3,2167,0,1
MIAT,1273,0,1
MAP4K4,450,0,1
PLP1,1199,0,1
WSB2,2270,0,1
HIAT1,2625,0,1
TARDBP,1934,0,1
NDUFA9,1446,0,1
KIAA0232,1554,0,1
XRN1,2636,0,1
THAP4,1603,0,1
ARPC5L,2142,0,1
PSMB7,655,0,1
GDI1,1556,0,1
DPF2,2828,0,1
HSPA4L,2264,0,1
TMEM200A,135,0,1
UBE2V2,2429,0,1
C9orf91,2605,0,1
ITM2A,2572,0,1
CNDP1,287,0,1
NAA38,128,0,1
PPP1R12A,2625,0,1
SESN1,1597,0,1
DPYSL4,2827,0,1
LAPTM4B,2585,0,1
RPS20,1550,0,1
CALB1,2774,0,1
SLC4A8,2362,0,1
TAF6,1089,0,1
HSPH1,1245,0,1
AK6,2289,0,1
OPA1,2221,0,1
GAS6,1292,0,1
NMD3,235,0,1
RBM24,2812,0,1
SECISBP2L,750,0,1
UBQLN1,2792,0,1
LOC101060747,478,0,1
TECR,237,0,1
EVL,1632,0,1
LOC339978,2780,0,1
BTBD3,2260,0,1
EPRS,2787,0,1
MYO6,2249,0,1
SLPI,2823,0,1
RAB2B,2437,0,1
LRRTM1,135,0,1
RGS4,757,0,1
RHPN2,2674,0,1
PDK3,2732,0,1
NKX6-3,2384,0,1
IPO4,2642,0,1
15-Sep,2194,0,1
SOX8,2100,0,1
TMEM9B,2048,0,1
FAM171A1,1922,0,1
CXorf40B,1779,0,1
LRPAP1,513,0,1
SLC7A2,2823,0,1
FEZ1,906,0,1
UBAP2,1012,0,1
RP11-118G23.1,2780,0,1
ZBTB41,1563,0,1
ACADVL,455,0,1
PITHD1,1985,0,1
TST,2779,0,1
BEX4,499,0,1
FAM168A,1724,0,1
NXPH4,2582,0,1
SEC14L5,547,0,1
KLHL42,1997,0,1
RAB5A,1357,0,1
SAT2,978,0,1
SLC25A34,2582,0,1
SLC25A29,2825,0,1
CYB561,191,0,1
GPR83,2453,0,1
PPFIA2,2685,0,1
OXER1,2670,0,1
NET1,2823,0,1
STARD3NL,689,0,1
MARCKSL1,2100,0,1
ASCL1,2749,0,1
CCNB1IP1,2689,0,1
KCNS1,818,0,1
ASPHD2,1774,0,1
STAMBPL1,2098,0,1
IFITM2,1558,0,1
NOS1AP,2319,0,1
HIST1H2AC,2802,0,1
SRP54,1948,0,1
PPP1R7,653,0,1
LOC100506990,781,0,1
FXR1,1507,0,1
MYL6B,1155,0,1
PTRHD1,1725,0,1
EIF5,2792,0,1
ARNT2,1556,0,1
RPL21,1103,0,1
METTL23,2847,0,1
STK39,586,0,1
HP1BP3,1215,0,1
KCNQ5,2597,0,1
COPB1,373,0,1
COPG2IT1,2743,0,1
TTTY9A,2480,0,1
DNAJB14,2848,0,1
LOC728099,2480,0,1
SLC1A2,1455,0,1
NEFM,2477,0,1
FGF14,2556,0,1
OLFML2B,2478,0,1
PKM,732,0,1
TMSB10,2663,0,1
KLHL3,5,0,1
ATXN1,1422,0,1
EIF1AX,2174,0,1
LOC257152,2705,0,1
TTLL7,2659,0,1
TPRG1L,490,0,1
EMC4,2811,0,1
LRRC10B,2707,0,1
CCDC113,2733,0,1
STARD4,2095,0,1
GNB2,114,0,1
NDUFB8,2282,0,1
KCTD6,1775,0,1
RAB3A,541,0,1
SRXN1,2262,0,1
STEAP2,2687,0,1
TRMT11,2354,0,1
GRB14,2842,0,1
HBA1,2800,0,1
VSTM2A,2839,0,1
RPS25,1555,0,1
HSP90B1,2203,0,1
RP11-38P22.2,2569,0,1
RAB4A,2720,0,1
DYRK1A,2625,0,1
TAGLN3,2527,0,1
COX8A,564,0,1
GUCY1B3,2697,0,1
EI24,2629,0,1
LOC101927450,2780,0,1
FBXW4,2444,0,1
LOC101060373,2731,0,1
CPEB1,108,0,1
ATF4,1579,0,1
CAMK2A,565,0,1
ZNF711,2585,0,1
REEP6,1683,0,1
BZW1,2284,0,1
RPL37A,1608,0,1
SFT2D2,2600,0,1
JARID2,1758,0,1
REEP5,2463,0,1
KCTD16,2755,0,1
ANKRD29,2847,0,1
GAS1,2823,0,1
SLC22A17,119,0,1
LOC151121,2705,0,1
CST3,1029,0,1
SRD5A1,2735,0,1
HYOU1,347,0,1
DYNLT3,2374,0,1
AL022344.5,2780,0,1
PCYOX1,421,0,1
C10orf54,2534,0,1
LOC101928061,2721,0,1
FARP1,413,0,1
STAT1,2847,0,1
GLIS2,1365,0,1
C12orf29,2046,0,1
LOC101928370,2780,0,1
LINGO2,671,0,1
PAFAH1B1,2166,0,1
TM2D2,2411,0,1
ITGAE,2730,0,1
HSP90AB1,2639,0,1
FARSB,2843,0,1
WWC3,2444,0,1
RAP2B,2251,0,1
C16orf78,2781,0,1
ANKRD20A12P,2781,0,1
MRPL47,1016,0,1
TGFBR3,2569,0,1
RP11-389G6.3,2016,0,1
SNHG8,2750,0,1
PIP4K2A,287,0,1
CELF1,1704,0,1
PPID,1803,0,1
LOC102724788,2802,0,1
CHMP2A,2334,0,1
ESF1,1172,0,1
MLEC,1066,0,1
APOE,2578,0,1
PPIG,1172,0,1
WIPF3,2716,0,1
EPS8L3,2705,0,1
LOC93622,1894,0,1
TMEM205,179,0,1
C19orf70,103,0,1
COASY,16,0,1
GRIP2,2534,0,1
DTX4,1620,0,1
PINK1,1973,0,1
BRD2,1163,0,1
KPNA3,596,0,1
CCAR1,1058,0,1
RSRC2,1723,0,1
TECPR1,99,0,1
RPUSD3,164,0,1
LETMD1,2586,0,1
ATCAY,2784,0,1
PHRF1,2384,0,1
RPS6,1164,0,1
GOLPH3,2139,0,1
NFIL3,1646,0,1
DQ592442,1506,0,1
HERPUD1,1112,0,1
SRP68,1545,0,1
CXCL14,2232,0,1
UBL5,2697,0,1
L1CAM,1355,0,1
SACM1L,2167,0,1
ACTR3,2380,0,1
ARRDC4,2665,0,1
TRIM4,1267,0,1
CIRH1A,156,0,1
PCDHA1,671,0,1
OFD1,252,0,1
ILDR2,2708,0,1
AKAP12,1661,0,1
SMC5-AS1,2781,0,1
RPS11,1754,0,1
TMEM178A,2538,0,1
C2orf80,865,0,1
ANKS1B,2537,0,1
ATP1A1,2542,0,1
HSD11B1,2546,0,1
STMN2,2477,0,1
DENR,2729,0,1
MTCH1,2663,0,1
TIMM23,435,0,1
KIZ,543,0,1
KIAA0430,2394,0,1
PLCB1,999,0,1
NUAK1,2042,0,1
LYSMD3,2267,0,1
CWC27,1172,0,1
GPI,490,0,1
CBX7,1595,0,1
ZFAND6,2139,0,1
C2CD5,999,0,1
MCAM,2823,0,1
C11orf72,2705,0,1
RAB39B,2754,0,1
BHMT,2560,0,1
RBAK,2353,0,1
CHGB,2260,1,1
LOC100288778,2178,0,1
STRBP,2740,0,1
WWC2,2780,0,1
IFI27L1,1991,0,1
SIDT2,1888,0,1
FAM169A,2391,0,1
TMOD1,2087,0,1
CRIM1,290,0,1
XIST,804,0,1
A4GNT,2706,0,1
NICN1,36,0,1
AGTPBP1,2613,0,1
LOC286370,2780,0,1
RUNDC3A,2784,0,1
ABHD10,1802,0,1
EMILIN3,2708,0,1
RPL10A,2023,0,1
TRIM33,1785,0,1
EPM2AIP1,551,0,1
CBX5,402,0,1
GTF2I,1414,0,1
ANAPC16,884,0,1
COX7A2P2,1035,0,1
RGCC,2100,0,1
FKBP1B,2808,0,1
BTBD6,994,0,1
MRVI1,2410,0,1
ARGLU1,2111,0,1
RPL23AP32,975,0,1
UHRF2,2787,0,1
FAM226A,2506,0,1
SRSF7,304,0,1
NIT2,2395,0,1
MAP9,2585,0,1
CBLN4,2656,0,1
CEP170B,224,0,1
RPS17,1647,0,1
CLIP3,1078,0,1
RICTOR,1873,0,1
SNW1,543,0,1
TCEAL4,2373,0,1
PRR18,303,0,1
TMEM60,2842,0,1
ARMCX3,1425,0,1
EPB41L2,869,0,1
AX747652,2546,0,1
YTHDF2,2792,0,1
LOC401320,2705,0,1
APOD,450,0,1
GRAMD1B,353,0,1
AASDHPPT,2658,0,1
MUM1,753,0,1
ZFP36,2748,0,1
WAC,1358,0,1
FBXO33,2740,0,1
LOC100289361,2559,0,1
ATG4C,2124,0,1
LOC158960,1365,0,1
GTF2H2B,2708,0,1
CSRP1,1071,0,1
BAZ2B,230,0,1
NUPR1,2670,0,1
UGP2,736,0,1
ZNF280B,2754,0,1
DGCR2,677,0,1
FBXL16,2010,0,1
SPCS1,652,0,1
SH3YL1,2824,0,1
NGFR,2780,0,1
FXYD1,237,0,1
AC007680.2,2705,0,1
GOLGA8N,1363,0,1
CHL1,1586,0,1
MKL2,2024,0,1
TSPAN3,2817,0,1
LOC100507291,2780,0,1
RP11-339B21.15,2524,0,1
RIT2,2509,0,1
RNU86,1937,0,1
ASH2L,2817,0,1
MAPRE1,1478,0,1
ZNHIT3,2496,0,1
IPO13,187,0,1
ABI2,698,0,1
NUDT3,280,0,1
AQP10,2781,0,1
STXBP1,2663,0,1
PSMD4,1915,0,1
PLEKHA5,2425,0,1
NPM2,276,0,1
CCSAP,2476,0,1
MFSD4,1381,0,1
TBCB,429,0,1
ZFAND2A,2532,0,1
DMXL1,2253,0,1
NKTR,2809,0,1
CUEDC2,1159,0,1
ZNRF3,2060,0,1
MYO1C,2534,0,1
EGFLAM-AS4,2781,0,1
SLC10A3,2781,0,1
BC022047,2793,0,1
STOM,2578,0,1
RNF128,1812,0,1
NECAB3,1885,0,1
9-Sep,805,0,1
PNRC2,1581,0,1
TSHZ3,2161,0,1
NGFRAP1,2682,0,2
ND2,2079,0,2
TRPC1,2709,0,1
RUNX1T1,2788,0,1
CELF2,1616,0,1
