Gene_ID,Node_ID,Is_AD_Biomarker,Cluster_k4
ND3,2662,0,4
DAND5,2875,0,1
ELOVL5,2887,0,1
CALB1,992,0,1
DDX59,518,0,1
ZFR2,2698,0,1
RPS23P6,2980,0,1
IFNA2,2980,0,1
FAM122B,2912,0,1
KIAA1598,1993,0,1
SERPINA9,2897,0,1
FDPS,1546,0,1
TMEM35,776,0,1
RIT2,2983,0,1
NDUFV2,2949,0,1
PPP1R21,1021,0,1
ARL15,2961,0,1
BPGM,2937,0,1
SLC38A1,2718,0,1
LINC00343,2945,0,1
SPTAN1,193,0,1
2-Sep,1796,0,1
RP11-589P10.5,2254,0,1
SLC35E2,125,0,1
SHROOM2,939,0,1
ZNF365,2523,0,1
KCNS1,2955,0,1
TNRC6A,1509,0,1
SYT13,614,0,1
ENHO,2664,0,1
NRG3,955,0,1
AAK1,189,0,1
ZSCAN29,2420,0,1
FOXJ3,1248,0,1
KLF4,2631,0,1
C1orf52,785,0,1
KIF5C,2299,0,1
NME1-NME2,2904,0,1
TAC1,389,0,1
TM2D2,1246,0,1
ADNP,1349,0,1
ZFP36,2860,0,1
SLITRK5,1060,0,1
CHD4,2289,0,1
LOC399491,2372,0,1
PITPNM3,1630,0,1
SAC3D1,2481,0,1
C2orf81,2943,0,1
C3orf70,2806,0,1
MRPS28,2937,0,1
BGN,2675,0,1
PNMA1,2840,0,1
ZNF16,2937,0,1
SUGP2,1490,0,1
BRMS1L,2192,0,1
KCTD6,27,0,1
LOC730961,2944,0,1
ERC2-IT1,2845,0,1
TTTY9A,2785,0,1
AIF1L,2664,0,1
RNF4,1237,0,1
MKNK2,2212,0,1
BCAT1,1544,0,1
RABAC1,2239,0,1
KDM2A,2110,0,1
RP4-593H12.1,2785,0,1
LMBRD1,774,0,1
SKP1,2826,0,2
PIP4K2C,2166,0,1
GSTM5,418,0,1
UNG,2939,0,1
HSPBP1,1142,0,1
LPP,2580,0,1
THAP4,584,0,1
FAM198B,2887,0,1
TMSB4X,2603,0,2
TCEAL4,2575,0,1
FAM32A,763,0,1
SLC44A1,2989,0,1
SRP19,2171,0,1
POLR2H,2378,0,1
CHRDL1,2705,0,1
AP3M2,2351,0,1
FTH1,2299,0,1
ATXN1L,1913,0,1
ADAMTS1,2631,0,1
EMX2,2887,0,1
SUN1,1350,0,1
PSMB6,2617,0,1
USP9Y,2573,0,1
CMPK1,1213,0,1
TCF4,2366,0,1
ADCY1,1500,0,1
SNX15,2936,0,1
SLU7,2474,0,1
DCTPP1,2120,0,1
TRMT10C,2192,0,1
PIN1,609,0,1
EXOC1,2967,0,1
RAPH1,2997,0,1
MRPS24,2428,0,1
PSMA2,2790,0,1
IAH1,1196,0,1
CTC-203F4.2,2874,0,1
ITM2A,2940,0,1
MOAP1,2840,0,1
DOCK4,461,0,1
CRELD2,2872,0,1
AVPI1,2466,0,1
UBE2O,2937,0,1
APOE,2887,0,1
TGFBI,1681,0,1
APBA2,166,0,1
MROH7-TTC4,2473,0,1
LIF,2945,0,1
ZNF2,2943,0,1
GAD1,2124,0,1
PSMD2,2577,0,1
DENND5A,1879,0,1
MFF,1096,0,1
KCNK12,720,0,1
PRSS3,705,0,1
UGT8,2284,0,1
HARBI1,2944,0,1
MDH2,1698,0,1
C5orf66,2930,0,1
RUNDC3B,2992,0,1
FAM208A,2713,0,1
G3BP2,2086,0,1
CCSAP,1085,0,1
GRIK5,2177,0,1
LUC7L3,2366,0,1
RP11-389G6.3,869,0,1
OXR1,1719,0,1
PLOD3,676,0,1
ANGEL2,1134,0,1
C11orf49,2384,0,1
CNDP2,2919,0,1
PITHD1,64,0,1
DBNDD1,2937,0,1
ITGB5,2814,0,1
HSPA5,2614,0,1
LOC101928304,2785,0,1
ATIC,2277,0,1
ISG15,1924,0,1
PCMT1,2864,0,1
RPL7L1,2197,0,1
YWHAE,266,0,1
CNTN4,2322,0,1
