x,y,shape
32.85925088103587,23.206167155150037,hexagon
31.5836740077617,24.410773878113,hexagon
28.880649347268623,24.856945904698524,hexagon
30.363951097521053,22.990472264534066,hexagon
27.006102486378072,22.797174340685686,hexagon
33.43441026143673,25.751789614412694,hexagon
28.356617512941657,25.02513379539706,hexagon
27.955910658328282,27.31716779818889,hexagon
27.883402815109925,25.956686427006602,hexagon
28.53429376895105,23.567574465276124,hexagon
31.246564331126674,25.62952741135589,hexagon
27.144877337622273,24.93376063714789,hexagon
31.257079402698654,27.78996870653926,hexagon
27.856583273004034,23.925203003964704,hexagon
28.207662159957337,22.903987082567216,hexagon
27.739794805982555,24.158748670821353,hexagon
29.764694616362288,21.806142098720997,hexagon
30.153486561033716,23.38780706231135,hexagon
27.74682840770843,26.01279747933151,hexagon
28.506107710594392,25.14894123293517,hexagon
28.110970326920505,22.464123973702485,hexagon
33.39226299831554,25.393039313653016,hexagon
28.44738197332468,23.567754181916293,hexagon
30.863411143369362,25.5164532376086,hexagon
32.61278881068685,26.679748923078385,hexagon
30.846992328034343,24.556460254605923,hexagon
32.031377763615176,27.085773068819012,hexagon
27.96635339631657,27.56395302287924,hexagon
26.951072523713133,22.99769531316779,hexagon
30.794209473594286,23.66800853163521,hexagon
30.75640638123483,25.212871739405145,hexagon
30.31457479612142,28.73672865381617,hexagon
31.727355772075104,23.566412306127823,hexagon
31.434163868951117,25.08268327418409,hexagon
30.82309548572107,27.611109652002188,hexagon
32.99203187293584,24.212191341458873,hexagon
29.46731996226707,24.53980261608631,hexagon
29.846341642946136,27.091583046742564,hexagon
30.661197203643194,25.296000416088823,hexagon
32.55275378752245,25.45696206343391,hexagon
30.12492888747834,28.782326431990413,hexagon
27.24270187409171,26.609368789594445,hexagon
29.70196893060091,23.41968971963532,hexagon
33.3161827280915,23.13010097762031,hexagon
27.592532272327198,26.569733834576716,hexagon
30.565656828775886,26.462881179626663,hexagon
32.91669279313254,23.09936643140811,hexagon
31.146359620466917,21.776160056061503,hexagon
33.08445259194506,26.35389935695157,hexagon
29.367914164268804,23.324916529300385,hexagon
28.34689926931848,24.197899606320604,hexagon
32.77323605392116,23.177405759893915,hexagon
31.34662747107275,26.30466794852888,hexagon
27.411059066662776,24.437743837259422,hexagon
32.57034378377393,22.569904931341615,hexagon
27.00940770769715,26.897260664954672,hexagon
27.324225634026618,25.30400641903337,hexagon
33.216965993403036,26.525178287837964,hexagon
29.3556267783805,28.605930100602148,hexagon
28.539502710653,27.88848743953617,hexagon
31.799232801823955,24.353799596274154,hexagon
29.573238941925887,27.049893530279128,hexagon
27.823070212072665,25.546292215736603,hexagon
29.351252064581704,23.796674674066182,hexagon
31.095872728460655,26.780341789919937,hexagon
28.175708244617507,25.155779267696236,hexagon
29.805800548365738,22.307873225510622,hexagon
