x,y
0.0,-100.0
-37.0,-92.85
-29.85,-92.85
-22.700000000000003,-92.85
-15.550000000000004,-92.85
-8.400000000000006,-92.85
-1.250000000000007,-92.85
5.8999999999999915,-92.85
13.04999999999999,-92.85
20.19999999999999,-92.85
27.349999999999994,-92.85
34.499999999999986,-92.85
41.64999999999998,-92.85
-51.0,-85.69999999999999
-43.85,-85.69999999999999
-36.7,-85.69999999999999
-29.550000000000004,-85.69999999999999
-22.400000000000006,-85.69999999999999
-15.250000000000007,-85.69999999999999
-8.100000000000009,-85.69999999999999
-0.95000000000001,-85.69999999999999
6.199999999999989,-85.69999999999999
13.349999999999994,-85.69999999999999
20.499999999999986,-85.69999999999999
27.649999999999977,-85.69999999999999
34.79999999999998,-85.69999999999999
41.94999999999999,-85.69999999999999
49.09999999999998,-85.69999999999999
56.24999999999997,-85.69999999999999
-61.0,-78.54999999999998
-53.85,-78.54999999999998
-46.7,-78.54999999999998
-39.550000000000004,-78.54999999999998
-32.400000000000006,-78.54999999999998
-25.250000000000007,-78.54999999999998
-18.10000000000001,-78.54999999999998
-10.95000000000001,-78.54999999999998
-3.8000000000000114,-78.54999999999998
3.3499999999999943,-78.54999999999998
10.499999999999986,-78.54999999999998
17.649999999999977,-78.54999999999998
24.799999999999983,-78.54999999999998
31.94999999999999,-78.54999999999998
39.09999999999998,-78.54999999999998
46.24999999999997,-78.54999999999998
53.39999999999998,-78.54999999999998
60.54999999999998,-78.54999999999998
67.69999999999999,-78.54999999999998
-70.0,-71.39999999999998
-62.85,-71.39999999999998
-55.7,-71.39999999999998
-48.550000000000004,-71.39999999999998
-41.400000000000006,-71.39999999999998
-34.25000000000001,-71.39999999999998
-27.10000000000001,-71.39999999999998
-19.95000000000001,-71.39999999999998
-12.800000000000011,-71.39999999999998
-5.650000000000006,-71.39999999999998
1.4999999999999858,-71.39999999999998
8.649999999999977,-71.39999999999998
15.799999999999983,-71.39999999999998
22.94999999999999,-71.39999999999998
30.09999999999998,-71.39999999999998
37.24999999999997,-71.39999999999998
44.39999999999998,-71.39999999999998
51.54999999999998,-71.39999999999998
58.69999999999999,-71.39999999999998
65.84999999999997,-71.39999999999998
72.99999999999997,-71.39999999999998
-76.0,-64.24999999999997
-68.85,-64.24999999999997
-61.69999999999999,-64.24999999999997
-54.54999999999998,-64.24999999999997
-47.39999999999998,-64.24999999999997
-40.24999999999997,-64.24999999999997
-33.099999999999966,-64.24999999999997
-25.94999999999996,-64.24999999999997
-18.799999999999955,-64.24999999999997
-11.649999999999949,-64.24999999999997
-4.499999999999943,-64.24999999999997
2.6500000000000625,-64.24999999999997
9.800000000000068,-64.24999999999997
16.950000000000074,-64.24999999999997
24.10000000000008,-64.24999999999997
31.250000000000085,-64.24999999999997
38.40000000000009,-64.24999999999997
