node1,node2,overlap_count
0,4,23
4,8,21
8,11,19
11,18,16
18,29,5
29,33,2
33,67,1
33,68,1
29,34,2
34,58,1
34,59,1
29,35,1
18,30,1
18,31,10
31,36,10
36,55,1
36,56,1
36,57,8
57,74,1
57,75,1
75,161,1
57,76,6
76,96,1
76,97,1
97,162,1
76,98,4
98,144,1
98,145,2
145,179,1
145,180,1
98,146,1
11,19,2
19,63,2
63,129,1
129,189,1
63,130,1
11,20,1
8,12,1
12,121,1
8,13,1
13,45,1
45,99,1
4,9,1
4,10,1
10,54,1
0,5,14
5,64,14
64,89,6
89,109,1
89,110,5
110,127,4
127,156,1
127,157,3
157,171,2
171,181,1
171,182,1
157,172,1
172,192,1
110,128,1
64,90,1
64,91,7
91,115,1
91,116,6
116,141,1
116,142,5
142,164,1
142,165,1
142,166,3
166,186,1
166,187,1
166,188,1
2,14,1
2,15,1
15,95,1
3,6,40
6,16,36
16,21,34
21,24,32
24,37,26
37,40,23
40,48,15
48,60,13
60,70,11
79,92,7
92,103,3
103,125,1
70,79,8
103,126,2
126,173,1
126,174,1
92,104,3
104,122,2
122,147,1
122,148,1
104,123,1
92,105,1
105,143,1
79,93,1
79,94,1
70,80,1
70,81,1
60,71,1
60,72,1
48,61,1
48,62,1
40,49,5
49,69,5
69,87,4
87,100,3
100,113,2
113,139,1
139,177,1
113,140,1
100,114,1
87,101,1
69,88,1
40,50,3
50,112,3
112,137,2
137,154,1
137,155,1
112,138,1
138,170,1
37,41,1
41,73,1
37,42,2
42,111,2
111,163,2
163,175,1
163,176,1
24,38,5
38,102,5
102,117,5
117,134,1
117,135,1
117,136,3
136,149,1
136,150,1
136,151,1
24,39,1
21,25,1
25,82,1
21,26,1
16,22,1
22,51,1
51,158,1
16,23,1
6,17,4
17,32,4
32,46,3
46,65,2
65,83,1
65,84,1
46,66,1
66,124,1
32,47,1
3,7,29
7,27,1
7,28,28
28,43,1
28,44,27
44,52,7
52,77,6
77,118,1
77,119,1
77,120,4
120,152,3
152,178,3
178,190,1
190,196,1
178,191,2
191,202,1
191,203,1
120,153,1
52,78,1
44,53,20
53,85,1
53,86,19
86,106,1
86,107,1
86,108,17
108,131,15
131,159,14
159,167,12
167,183,10
183,193,8
193,197,2
197,207,1
197,208,1
193,198,1
193,199,5
199,200,1
199,201,4
201,204,2
204,209,1
204,210,1
201,205,1
201,206,1
183,194,1
183,195,1
167,184,1
167,185,1
159,168,1
159,169,1
131,160,1
108,132,1
108,133,1
2,89,1
