output,Id,Species,hit_count,x,y
2,"[117, 138]","['Iris-virginica', 'Iris-virginica']",2,0.0,1.0
7,[78],['Iris-versicolor'],1,1.0,-1.0
38,[140],['Iris-virginica'],1,0.0,6.0
50,[87],['Iris-versicolor'],1,3.0,-4.0
54,[77],['Iris-versicolor'],1,2.0,-6.0
57,"[51, 53]","['Iris-versicolor', 'Iris-versicolor']",2,4.0,-3.0
74,[146],['Iris-virginica'],1,6.0,4.0
80,[125],['Iris-virginica'],1,4.0,5.0
82,[142],['Iris-virginica'],1,5.0,6.0
84,[66],['Iris-versicolor'],1,3.0,-6.0
92,[134],['Iris-virginica'],1,-2.0,-4.0
93,[55],['Iris-versicolor'],1,-1.0,-5.0
108,[148],['Iris-virginica'],1,-2.0,2.0
115,[52],['Iris-versicolor'],1,6.0,-4.0
118,[59],['Iris-versicolor'],1,1.0,-8.0
120,[127],['Iris-virginica'],1,-5.0,-3.0
129,[113],['Iris-virginica'],1,-1.0,5.0
141,[76],['Iris-versicolor'],1,2.0,-8.0
149,[75],['Iris-versicolor'],1,0.0,-9.0
150,[111],['Iris-virginica'],1,5.0,1.0
152,"[128, 139, 150]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica']",3,-5.0,-2.0
176,"[129, 133]","['Iris-virginica', 'Iris-virginica']",2,-5.0,4.0
181,[104],['Iris-virginica'],1,-4.0,1.0
183,[106],['Iris-virginica'],1,0.0,12.0
187,"[121, 144]","['Iris-virginica', 'Iris-virginica']",2,4.0,8.0
212,[98],['Iris-versicolor'],1,-2.0,-10.0
230,[136],['Iris-virginica'],1,-1.0,12.0
232,[103],['Iris-virginica'],1,-3.0,8.0
242,[112],['Iris-virginica'],1,-8.0,3.0
246,"[115, 122]","['Iris-virginica', 'Iris-virginica']",2,-8.0,-1.0
272,[72],['Iris-versicolor'],1,-5.0,-10.0
282,[116],['Iris-virginica'],1,9.0,4.0
307,[107],['Iris-virginica'],1,-13.0,-2.0
309,[105],['Iris-virginica'],1,-4.0,5.0
335,"[102, 114, 143]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica']",3,-10.0,-1.0
340,[147],['Iris-virginica'],1,-10.0,4.0
341,[124],['Iris-virginica'],1,-10.0,2.0
347,[89],['Iris-versicolor'],1,-8.0,-10.0
349,[96],['Iris-versicolor'],1,-7.0,-11.0
370,[74],['Iris-versicolor'],1,-3.0,-7.0
375,[97],['Iris-versicolor'],1,-9.0,-10.0
384,[141],['Iris-virginica'],1,7.0,7.0
387,[45],['Iris-setosa'],1,7.0,-9.0
403,[32],['Iris-setosa'],1,0.0,-13.0
